series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
openrouter.classifications.task,macro:agent,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,token_share,0.346,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:agent,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,usage_share,0.138,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:code,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,token_share,0.373,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:code,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,usage_share,0.122,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:data,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,token_share,0.056,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:data,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,usage_share,0.195,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:general,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,token_share,0.225,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,macro:general,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,usage_share,0.544,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,task:agent:memory_extraction,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,category_token_share,0.055,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
openrouter.classifications.task,task:agent:memory_extraction,2026-08-31T00:00:00Z,2026-09-01T14:48:23Z,category_usage_share,0.075,share,openrouter.classifications.task,raw/openrouter.classifications.task/2026/09/20260901T144823Z-3e39cf29aaa6.json,1
